N,seed,candidate_index,angles_sha256_float64,OT_cost,R_N,lambda_R,weighted_R_N,J_N,objective_grid_points,objective_time_steps,sinkhorn_n_iter,sinkhorn_err_l1,rank_J,rank_R,rank_OT,selected_J,selected_R,selected_OT
24,2,42,171e30571d27181bd2dd8c56476fd0d41da53c88239df38b7f0969eb3a08b8e7,0.011656703422000661,0.5429003073519258,0.001,0.0005429003073519258,0.012199603729352587,579,721,31,4.9834557591665885e-09,30.0,26.0,53.0,False,False,False
24,2,43,c067a45ed863e5f12dda966fa60338d896cb86c468797c0c50d7bd80b289e78d,0.01164819975548395,0.6347974588917344,0.001,0.0006347974588917345,0.012282997214375684,579,721,30,8.82485173825387e-09,57.0,57.0,19.0,False,False,False
24,2,44,cce90bb5d2cccade2f82bf6c62145274c71bc0b9ad6888371b5a3537692fe352,0.011644732862405222,0.507222287449877,0.001,0.0005072222874498769,0.012151955149855098,579,721,31,4.986955293162509e-09,1.0,4.0,8.0,True,False,False
24,2,45,b78c576703437b2149bbcf78768b76f964d76b33a1260efa744aec001317ce06,0.011648958414374222,0.6591317298080966,0.001,0.0006591317298080966,0.012308090144182318,579,721,31,5.381536993809277e-09,60.0,59.0,25.0,False,False,False
24,2,46,9f927d93b99853667b736b2461922d1f95d0c3a53c71002db66d47b44e49fdc7,0.011652611158724709,0.5234966870026796,0.001,0.0005234966870026796,0.01217610784572739,579,721,31,5.079077380898411e-09,12.0,10.0,38.0,False,False,False
24,2,47,f5262835ce098cd6dcc83b520bc23106b4d01e4936f42801ac15dcc07b482027,0.011648808124114752,0.5632822946273737,0.001,0.0005632822946273737,0.012212090418742126,579,721,30,9.658722599503733e-09,39.0,40.0,24.0,False,False,False
24,2,48,bf0b7581b3d55f7c5623e45ca88745987244ddf585b0a2c6afc8d2e7f4dc8aa4,0.011656182513672507,0.6001222675241851,0.001,0.0006001222675241851,0.012256304781196692,579,721,30,9.126073230447673e-09,54.0,54.0,52.0,False,False,False
24,2,49,3c967423c0ea918fbe78e2fc3a838073e0b089c364fedd7a6c73eaeb0e658689,0.011655974157991232,0.5457949674334077,0.001,0.0005457949674334077,0.01220176912542464,579,721,31,5.109273781833679e-09,32.0,30.0,49.0,False,False,False
24,2,50,32ea383067455e3990d654c68eb82cfeaffed18f92276d4c46826fb08eb64620,0.01165307968496409,0.5694968233059362,0.001,0.0005694968233059362,0.012222576508270026,579,721,31,5.150992188340808e-09,43.0,43.0,44.0,False,False,False
24,2,51,671ab3cbb4ec125b5231707d26e8ac52019951cf3471be36a637a91c1e6605fd,0.011666170766830242,0.57284645492317,0.001,0.00057284645492317,0.012239017221753412,579,721,30,9.267588696459939e-09,48.0,45.0,60.0,False,False,False
24,2,52,f42a38e638f17b11e9f55bd8f46fea888b8aa25ea4b8975baaaf9eddf4590038,0.011654628085981248,0.5443551949208513,0.001,0.0005443551949208513,0.0121989832809021,579,721,30,9.470169426428754e-09,29.0,28.0,45.0,False,False,False
24,2,53,ca7a1daa7f178d5e5892e95998bbc1d27c04f9b6b9ee79d59bd7c0d7db4d6f0d,0.011650672831921794,0.5407699700930401,0.001,0.00054076997009304,0.012191442802014835,579,721,31,4.915361784263439e-09,24.0,23.0,32.0,False,False,False
